Order ID,Order Date,Customer Name,Region,Product,Units Sold,Unit Price,Sales Channel,Total Revenue,Unit Cost,Profit per Unit,Total Profit,Delivery Time (Days),Discount (%),Final Revenue After Discount
ORD100013,2024-06-07,Christopher Alvarado,West,Lego Set,4,1406,Wholesale,5624,1096.68,309.31999999999994,1237.28,4,0,5624.0
ORD100014,2024-01-22,James Santiago,West,Puzzle Game,17,944,Wholesale,16048,651.3599999999999,292.6400000000001,4974.88,5,0,16048.0
ORD100015,2024-06-08,Jose Johnson,East,Remote Car,29,519,Wholesale,15051,368.49,150.51,4364.79,1,0,15051.0
ORD100016,2024-09-25,Denise Martinez,South,Action Figure,39,458,Wholesale,17862,247.32000000000002,210.67999999999998,8216.52,7,5,16968.9
ORD100017,2024-12-26,Kimberly Taylor,West,Doll House,16,1228,Online,19648,896.4399999999999,331.56000000000006,5304.96,2,20,15718.4
ORD100018,2023-07-02,Trevor Johnson,West,Remote Car,17,1026,Online,17442,605.3399999999999,420.6600000000001,7151.22,4,0,17442.0
ORD100019,2023-08-19,Jennifer Miller,East,Teddy Bear,13,1440,Wholesale,18720,1065.6,374.4000000000001,4867.2,1,0,18720.0
ORD100020,2024-03-19,Timothy Bartlett,West,Puzzle Game,28,1432,Wholesale,40096,930.8000000000001,501.19999999999993,14033.6,6,20,32076.8
ORD100021,2024-07-16,Justin Fisher,South,Remote Car,46,1290,Online,59340,980.4,309.6,14241.6,2,5,56373.0
ORD100022,2024-07-28,Melanie Clark,West,Doll House,23,1088,Retail Store,25024,783.36,304.64,7006.72,9,0,25024.0
ORD100023,2024-10-01,Mr. Benjamin Brock,South,Puzzle Game,7,1103,Wholesale,7721,595.62,507.38,3551.66,4,5,7334.95
ORD100024,2024-10-08,William Cuevas,North,Doll House,16,1424,Online,22784,754.72,669.28,10708.48,4,5,21644.8
ORD100025,2023-01-18,Brenda Sims,South,Remote Car,3,442,Online,1326,335.92,106.07999999999998,318.24,2,5,1259.7
ORD100026,2024-11-07,Karen Henry,North,Puzzle Game,6,1159,Wholesale,6954,753.35,405.65,2433.9,5,0,6954.0
ORD100027,2024-09-08,Timothy Gomez,South,Lego Set,32,489,Retail Store,15648,386.31,102.69,3286.08,3,5,14865.6
ORD100028,2023-03-31,Dustin Larson,East,Lego Set,30,467,Retail Store,14010,364.26,102.74000000000001,3082.2,7,20,11208.0
ORD100029,2023-10-01,Robert Frost,South,Puzzle Game,39,1196,Online,46644,920.9200000000001,275.0799999999999,10728.12,2,5,44311.8
ORD100030,2024-09-27,Matthew Rodriguez,South,Puzzle Game,1,708,Online,708,488.52,219.48000000000002,219.48,8,5,672.6
ORD100031,2024-12-16,Cynthia Chan,North,Doll House,7,1472,Retail Store,10304,883.1999999999999,588.8000000000001,4121.6,7,10,9273.6
ORD100032,2023-11-23,Lauren Miller,South,Action Figure,39,371,Online,14469,200.34,170.66,6655.74,7,0,14469.0
ORD100033,2024-09-20,Steven Johnson,West,Action Figure,12,1034,Online,12408,775.5,258.5,3102.0,7,5,11787.6
ORD100034,2023-03-31,Christina Odonnell,West,Lego Set,14,1151,Online,16114,656.0699999999999,494.93000000000006,6929.02,1,0,16114.0
ORD100035,2024-07-20,Erika Willis,East,Remote Car,47,1277,Retail Store,60019,791.74,485.26,22807.22,8,5,57018.05
ORD100036,2023-05-07,John Dixon,East,Doll House,44,838,Wholesale,36872,486.03999999999996,351.96000000000004,15486.24,6,15,31341.2
ORD100037,2024-06-11,Ashley Barton,West,Lego Set,2,780,Online,1560,569.4,210.60000000000002,421.2,4,5,1482.0
ORD100038,2023-05-04,Anna Walker,South,Remote Car,30,1203,Wholesale,36090,926.3100000000001,276.68999999999994,8300.7,6,5,34285.5
ORD100039,2024-11-12,Cynthia Kim,South,Teddy Bear,8,585,Retail Store,4680,432.9,152.10000000000002,1216.8,6,10,4212.0
ORD100040,2023-11-27,Charles Tran,West,Remote Car,23,977,Online,22471,625.28,351.72,8089.56,6,5,21347.45
ORD100041,2023-01-29,Kelli Phelps,West,Puzzle Game,48,1066,Wholesale,51168,692.9,373.1,17908.8,1,0,51168.0
ORD100042,2024-03-12,James Ferguson,East,Doll House,4,768,Retail Store,3072,614.4000000000001,153.5999999999999,614.4,4,0,3072.0
ORD100043,2024-08-13,Peter Martinez,West,Remote Car,15,970,Wholesale,14550,756.6,213.39999999999998,3201.0,3,0,14550.0
ORD100044,2024-01-05,David Cox,West,Action Figure,44,617,Online,27148,487.43,129.57,5701.08,3,20,21718.4
ORD100045,2023-01-01,Karen Stewart,South,Lego Set,18,1155,Retail Store,20790,843.15,311.85,5613.3,6,10,18711.0
ORD100046,2023-10-24,Juan Elliott,North,Doll House,28,640,Wholesale,17920,403.2,236.8,6630.4,3,5,17024.0
ORD100047,2024-04-06,Lisa Reynolds,North,Lego Set,38,377,Wholesale,14326,297.83000000000004,79.16999999999996,3008.46,1,5,13609.7
ORD100048,2024-08-20,Bryan Wilson,North,Puzzle Game,1,451,Wholesale,451,243.54000000000002,207.45999999999998,207.46,5,0,451.0
ORD100049,2024-12-17,Kimberly Weaver,South,Lego Set,41,346,Retail Store,14186,259.5,86.5,3546.5,4,5,13476.7
ORD100050,2024-02-29,Traci White,East,Remote Car,45,1364,Wholesale,61380,682.0,682.0,30690.0,6,5,58311.0
ORD100051,2023-06-30,Edgar Santana,South,Remote Car,21,1181,Wholesale,24801,708.6,472.4,9920.4,4,0,24801.0
ORD100052,2023-04-10,Catherine Davis,East,Doll House,27,605,Retail Store,16335,423.5,181.5,4900.5,8,15,13884.75
ORD100053,2024-05-17,Lisa Bradley,West,Teddy Bear,33,1459,Retail Store,48147,875.4,583.6,19258.8,5,5,45739.65
ORD100054,2023-04-10,Lori Williams,East,Action Figure,13,1207,Wholesale,15691,844.9,362.1,4707.3,2,10,14121.9
ORD100055,2024-07-16,Laura Vincent,East,Teddy Bear,6,558,Wholesale,3348,318.05999999999995,239.94000000000005,1439.64,6,5,3180.6
ORD100056,2023-01-17,Sean Ochoa,East,Puzzle Game,19,443,Retail Store,8417,230.36,212.64,4040.16,1,20,6733.6
ORD100057,2023-07-09,Juan Liu,North,Teddy Bear,13,1127,Online,14651,755.09,371.90999999999997,4834.83,7,10,13185.9
ORD100058,2024-05-25,Jeremy Conley,South,Doll House,42,1179,Retail Store,49518,730.98,448.02,18816.84,9,20,39614.4
ORD100059,2024-11-20,Larry Zavala,North,Puzzle Game,15,1211,Online,18165,653.94,557.06,8355.9,8,15,15440.25
ORD100060,2024-06-09,Mary Knight,South,Remote Car,6,1310,Online,7860,759.8,550.2,3301.2,4,0,7860.0
ORD100061,2024-05-15,Brian Shaw,North,Lego Set,8,1264,Retail Store,10112,884.8,379.20000000000005,3033.6,6,20,8089.6
ORD100062,2023-03-21,Gordon Watkins,East,Remote Car,36,1309,Wholesale,47124,890.1200000000001,418.8799999999999,15079.68,9,0,47124.0
ORD100063,2024-02-18,Maria Brown,West,Remote Car,46,482,Retail Store,22172,342.21999999999997,139.78000000000003,6429.88,5,5,21063.4
ORD100064,2023-08-16,Eric Robertson,South,Action Figure,18,1311,Wholesale,23598,825.93,485.07000000000005,8731.26,1,5,22418.1
ORD100065,2023-12-31,Thomas White,West,Doll House,35,1156,Retail Store,40460,670.4799999999999,485.5200000000001,16993.2,2,15,34391.0
ORD100066,2023-11-07,Steven Wood,North,Lego Set,26,1303,Retail Store,33878,703.62,599.38,15583.88,8,20,27102.4
ORD100067,2024-10-12,Tiffany White,East,Doll House,34,1018,Online,34612,763.5,254.5,8653.0,1,5,32881.4
ORD100068,2024-09-25,Laura Walton,East,Puzzle Game,46,740,Wholesale,34040,421.79999999999995,318.20000000000005,14637.2,5,0,34040.0
ORD100069,2024-03-02,Gabrielle Hernandez,South,Teddy Bear,13,1076,Retail Store,13988,656.36,419.64,5455.32,9,10,12589.2
ORD100070,2024-12-22,James Dixon,West,Puzzle Game,1,848,Retail Store,848,542.72,305.28,305.28,6,5,805.6
ORD100071,2024-11-04,Gerald Hernandez,West,Action Figure,46,1099,Wholesale,50554,670.39,428.61,19716.06,8,5,48026.3
ORD100072,2023-12-28,Robert Turner,East,Remote Car,43,472,Wholesale,20296,278.47999999999996,193.52000000000004,8321.36,5,15,17251.6
ORD100073,2024-04-30,Debra Hayes,South,Action Figure,10,320,Online,3200,176.0,144.0,1440.0,8,0,3200.0
ORD100074,2024-01-02,Jean Hogan,South,Puzzle Game,48,430,Wholesale,20640,253.7,176.3,8462.4,5,5,19608.0
ORD100075,2023-06-25,Betty Brooks,West,Teddy Bear,41,1047,Wholesale,42927,659.61,387.39,15882.99,5,5,40780.65
ORD100076,2023-12-31,Danielle Johnson,South,Puzzle Game,40,308,Retail Store,12320,181.72,126.28,5051.2,5,5,11704.0
ORD100077,2024-01-23,Carolyn Fields,North,Action Figure,32,1131,Online,36192,746.46,384.53999999999996,12305.28,3,0,36192.0
ORD100078,2024-08-23,Brad Miller,South,Lego Set,17,866,Retail Store,14722,597.54,268.46000000000004,4563.82,4,0,14722.0
ORD100079,2023-01-13,Brittany Davis,West,Remote Car,26,1321,Retail Store,34346,739.7600000000001,581.2399999999999,15112.24,7,0,34346.0
ORD100080,2024-10-28,Karen Wilson,North,Lego Set,45,710,Online,31950,496.99999999999994,213.00000000000006,9585.0,9,10,28755.0
ORD100081,2023-09-27,Russell Perkins,North,Doll House,15,1367,Wholesale,20505,820.1999999999999,546.8000000000001,8202.0,1,15,17429.25
ORD100082,2023-12-15,Joshua Berger,North,Teddy Bear,16,1030,Wholesale,16480,659.2,370.79999999999995,5932.8,3,5,15656.0
ORD100083,2023-03-23,Wyatt Nichols,South,Remote Car,12,1405,Online,16860,772.7500000000001,632.2499999999999,7587.0,1,5,16017.0
ORD100084,2023-05-04,Nicholas Berg Jr.,South,Action Figure,40,1177,Retail Store,47080,741.51,435.49,17419.6,7,5,44726.0
ORD100085,2023-07-26,Charles West,North,Doll House,5,1235,Retail Store,6175,666.9000000000001,568.0999999999999,2840.5,9,0,6175.0
ORD100086,2023-09-03,James Murray,West,Puzzle Game,15,585,Online,8775,462.15000000000003,122.84999999999997,1842.75,5,15,7458.75
ORD100087,2024-03-23,Christine Curry,West,Remote Car,20,1106,Wholesale,22120,674.66,431.34000000000003,8626.8,9,0,22120.0
ORD100088,2024-12-25,Summer Moore,South,Puzzle Game,40,519,Online,20760,326.97,192.02999999999997,7681.2,3,5,19722.0
ORD100089,2024-03-16,Seth Russell,East,Remote Car,9,564,Retail Store,5076,400.44,163.56,1472.04,8,5,4822.2
ORD100090,2023-06-17,Daniel Hill,South,Puzzle Game,35,689,Retail Store,24115,378.95000000000005,310.04999999999995,10851.75,2,0,24115.0
ORD100091,2024-10-04,Devon Gilmore,North,Puzzle Game,25,975,Online,24375,653.25,321.75,8043.75,3,0,24375.0
ORD100092,2024-10-31,Kevin Newman,South,Teddy Bear,18,1133,Retail Store,20394,895.07,237.92999999999995,4282.74,7,5,19374.3
ORD100093,2023-01-22,William Ross,South,Remote Car,41,703,Online,28823,442.89,260.11,10664.51,1,10,25940.7
ORD100094,2024-03-29,Victor Mason,East,Action Figure,39,480,Retail Store,18720,316.8,163.2,6364.8,5,10,16848.0
ORD100095,2024-02-10,John Padilla,East,Lego Set,11,303,Wholesale,3333,221.19,81.81,899.91,7,0,3333.0
ORD100096,2024-03-23,Jason Oconnell,West,Teddy Bear,6,956,Online,5736,525.8000000000001,430.19999999999993,2581.2,1,0,5736.0
ORD100097,2024-04-23,Alex Shepard,East,Puzzle Game,38,521,Wholesale,19798,354.28000000000003,166.71999999999997,6335.36,6,5,18808.1
ORD100098,2024-12-06,Curtis Brown,South,Puzzle Game,50,943,Online,47150,575.23,367.77,18388.5,1,0,47150.0
ORD100099,2023-10-09,Stephanie Cunningham,North,Teddy Bear,30,832,Retail Store,24960,465.9200000000001,366.0799999999999,10982.4,2,10,22464.0
ORD100100,2024-06-08,Kayla Benson,North,Teddy Bear,37,929,Retail Store,34373,473.79,455.21,16842.77,5,5,32654.35
ORD100101,2024-08-30,Rodney Williams,North,Remote Car,30,564,Wholesale,16920,377.88,186.12,5583.6,4,10,15228.0
ORD100102,2023-05-19,Alexis Humphrey,West,Lego Set,16,678,Online,10848,447.48,230.51999999999998,3688.32,4,5,10305.6
ORD100103,2023-03-07,Autumn Ewing,West,Puzzle Game,40,962,Retail Store,38480,634.9200000000001,327.0799999999999,13083.2,9,20,30784.0
ORD100104,2024-02-06,Desiree Williams,South,Teddy Bear,4,431,Wholesale,1724,331.87,99.13,396.52,6,10,1551.6
ORD100105,2023-08-12,Ryan Murphy,West,Puzzle Game,46,942,Online,43332,546.36,395.64,18199.44,1,5,41165.4
ORD100106,2023-06-24,Sarah Stark,West,Puzzle Game,30,1142,Wholesale,34260,856.5,285.5,8565.0,8,0,34260.0
ORD100107,2024-03-21,Mitchell Myers,South,Doll House,45,783,Wholesale,35235,626.4000000000001,156.5999999999999,7047.0,5,5,33473.25
ORD100108,2023-11-26,Katherine Hall,North,Lego Set,48,1205,Online,57840,915.8,289.20000000000005,13881.6,6,10,52056.0
ORD100109,2023-07-04,Kimberly Moore,North,Lego Set,4,524,Retail Store,2096,361.55999999999995,162.44000000000005,649.76,7,15,1781.6
ORD100110,2023-09-15,Aaron Thomas,North,Puzzle Game,44,564,Wholesale,24816,293.28000000000003,270.71999999999997,11911.68,8,0,24816.0
ORD100111,2024-08-14,Nathan Kim,West,Action Figure,20,1030,Retail Store,20600,751.9,278.1,5562.0,7,10,18540.0
ORD100112,2024-05-07,Courtney Jackson,West,Puzzle Game,4,1140,Retail Store,4560,649.8,490.20000000000005,1960.8,7,0,4560.0
ORD100113,2023-04-05,Matthew Pope,North,Lego Set,4,450,Wholesale,1800,297.0,153.0,612.0,8,15,1530.0
ORD100114,2023-11-16,Kimberly Terrell,East,Puzzle Game,50,1432,Online,71600,930.8000000000001,501.19999999999993,25060.0,3,0,71600.0
ORD100115,2023-06-27,Rachel Tate,South,Lego Set,29,1168,Wholesale,33872,759.2,408.79999999999995,11855.2,9,10,30484.8
ORD100116,2023-09-13,Shannon Smith,East,Teddy Bear,22,470,Wholesale,10340,347.8,122.19999999999999,2688.4,3,10,9306.0
ORD100117,2023-09-27,Calvin Hanna,North,Puzzle Game,40,1143,Retail Store,45720,868.6800000000001,274.31999999999994,10972.8,4,5,43434.0
ORD100118,2024-12-27,Danny Smith,East,Remote Car,30,857,Wholesale,25710,471.35,385.65,11569.5,9,0,25710.0
ORD100119,2024-05-19,Erin Chapman,South,Remote Car,30,683,Online,20490,375.65000000000003,307.34999999999997,9220.5,1,0,20490.0
ORD100120,2023-03-30,Timothy Washington,West,Remote Car,50,438,Online,21900,245.28000000000003,192.71999999999997,9636.0,9,10,19710.0
ORD100121,2023-05-18,Stacy Roberts,West,Puzzle Game,26,808,Online,21008,622.16,185.84000000000003,4831.84,5,0,21008.0
ORD100122,2024-02-16,Monica Brooks,South,Doll House,8,1334,Retail Store,10672,773.7199999999999,560.2800000000001,4482.24,4,15,9071.2
ORD100123,2024-12-03,Kyle Jackson,West,Doll House,29,1439,Wholesale,41731,1122.42,316.5799999999999,9180.82,2,0,41731.0
ORD100124,2024-02-21,Daniel Jackson,West,Remote Car,2,829,Wholesale,1658,596.88,232.12,464.24,4,15,1409.3
ORD100125,2023-05-20,Nicholas Stephens,East,Remote Car,28,649,Retail Store,18172,343.97,305.03,8540.84,8,5,17263.4
ORD100126,2024-04-18,Denise Snyder,East,Puzzle Game,27,773,Wholesale,20871,533.37,239.63,6470.01,1,15,17740.35
ORD100127,2023-08-30,Cole Mercado,South,Doll House,39,493,Retail Store,19227,384.54,108.45999999999998,4229.94,3,0,19227.0
ORD100128,2023-03-24,Gina Schwartz,North,Remote Car,17,978,Retail Store,16626,723.72,254.27999999999997,4322.76,2,15,14132.1
ORD100129,2024-06-13,Cathy Guzman,East,Remote Car,39,809,Online,31551,590.5699999999999,218.43000000000006,8518.77,4,0,31551.0
ORD100130,2023-03-04,Danielle Davis,South,Action Figure,27,605,Online,16335,332.75,272.25,7350.75,9,0,16335.0
ORD100131,2024-03-17,Nicole Larson,East,Puzzle Game,35,1053,Retail Store,36855,579.1500000000001,473.8499999999999,16584.75,5,0,36855.0
ORD100132,2024-07-29,Jacob Foster,South,Teddy Bear,47,878,Wholesale,41266,509.23999999999995,368.76000000000005,17331.72,2,20,33012.8
ORD100133,2023-04-21,Kimberly Evans,South,Puzzle Game,39,685,Retail Store,26715,404.15,280.85,10953.15,6,5,25379.25
ORD100134,2023-08-26,Erin Potter,North,Lego Set,45,717,Retail Store,32265,509.07,207.93,9356.85,6,0,32265.0
ORD100135,2024-05-07,Thomas Adams,West,Teddy Bear,29,393,Retail Store,11397,259.38,133.62,3874.98,4,10,10257.3
ORD100136,2023-07-15,Heather Vazquez,East,Puzzle Game,50,1135,Wholesale,56750,805.8499999999999,329.1500000000001,16457.5,2,5,53912.5
ORD100137,2023-04-12,Vanessa Adams,South,Teddy Bear,27,1433,Wholesale,38691,888.46,544.54,14702.58,5,10,34821.9
ORD100138,2024-08-13,Jeffrey Harvey,South,Teddy Bear,22,1156,Retail Store,25432,786.08,369.91999999999996,8138.24,1,5,24160.4
ORD100139,2023-08-27,Kimberly Mitchell,North,Doll House,38,691,Wholesale,26258,462.97,228.02999999999997,8665.14,5,0,26258.0
ORD100140,2024-03-27,Jacob Davis,South,Action Figure,7,1178,Wholesale,8246,859.9399999999999,318.06000000000006,2226.42,4,15,7009.1
ORD100141,2024-07-08,Pamela Taylor,North,Teddy Bear,18,1231,Online,22158,947.87,283.13,5096.34,3,0,22158.0
ORD100142,2023-11-15,Michael Pitts,South,Remote Car,35,990,Online,34650,693.0,297.0,10395.0,9,15,29452.5
ORD100143,2024-04-15,Tara Wilson,South,Doll House,17,1238,Retail Store,21046,779.94,458.05999999999995,7787.02,1,15,17889.1
ORD100144,2023-10-20,Corey Sampson,East,Lego Set,45,975,Wholesale,43875,575.25,399.75,17988.75,8,0,43875.0
ORD100145,2024-03-17,Christy Garcia,East,Action Figure,40,1091,Wholesale,43640,556.41,534.59,21383.6,5,0,43640.0
ORD100146,2024-09-26,Joshua Proctor,West,Puzzle Game,40,806,Retail Store,32240,459.41999999999996,346.58000000000004,13863.2,5,0,32240.0
ORD100147,2023-07-27,Richard Webster,East,Teddy Bear,24,1011,Retail Store,24264,667.26,343.74,8249.76,2,0,24264.0
ORD100148,2024-10-27,Paul Wright,West,Action Figure,20,559,Wholesale,11180,346.58,212.42000000000002,4248.4,6,15,9503.0
ORD100149,2023-08-15,Maria Baker,West,Remote Car,3,498,Retail Store,1494,368.52,129.48000000000002,388.44,5,0,1494.0
ORD100150,2023-06-19,Raven Moses,West,Action Figure,48,1396,Retail Store,67008,949.2800000000001,446.7199999999999,21442.56,6,0,67008.0
ORD100151,2024-11-17,Brianna Woodward,West,Doll House,14,654,Retail Store,9156,425.1,228.89999999999998,3204.6,4,5,8698.2
ORD100152,2024-08-26,Kathryn Mendez,South,Puzzle Game,41,1455,Online,59655,887.55,567.45,23265.45,6,5,56672.25
ORD100153,2023-08-27,Christina Brown,West,Teddy Bear,45,774,Online,34830,557.28,216.72000000000003,9752.4,8,15,29605.5
ORD100154,2024-11-02,Ellen Roth,West,Puzzle Game,10,922,Online,9220,470.22,451.78,4517.8,9,10,8298.0
ORD100155,2024-08-13,Christopher Clark,West,Puzzle Game,10,975,Retail Store,9750,663.0,312.0,3120.0,4,0,9750.0
ORD100156,2024-07-01,Carmen Parks,West,Doll House,42,1303,Online,54726,703.62,599.38,25173.96,6,0,54726.0
ORD100157,2024-05-26,Amy Jones,North,Action Figure,36,1337,Online,48132,1002.75,334.25,12033.0,1,0,48132.0
ORD100158,2023-12-27,Andrea Berry,South,Lego Set,14,933,Retail Store,13062,615.78,317.22,4441.08,6,5,12408.9
ORD100159,2023-10-11,Marc Dean,North,Remote Car,14,1384,Retail Store,19376,705.84,678.16,9494.24,8,10,17438.4
ORD100160,2023-12-15,Justin Austin,South,Puzzle Game,15,531,Wholesale,7965,281.43,249.57,3743.55,7,5,7566.75
ORD100161,2023-05-23,John Perez,East,Action Figure,26,1182,Retail Store,30732,673.7399999999999,508.2600000000001,13214.76,8,10,27658.8
ORD100162,2024-03-26,Alexander Sherman,South,Doll House,18,1473,Online,26514,780.69,692.31,12461.58,4,10,23862.6
ORD100163,2024-11-10,Tyrone Morgan,South,Teddy Bear,46,901,Retail Store,41446,666.74,234.26,10775.96,6,15,35229.1
ORD100164,2024-05-08,Brent Green,West,Action Figure,13,688,Wholesale,8944,344.0,344.0,4472.0,7,10,8049.6
ORD100165,2023-12-04,Douglas Dickerson,West,Teddy Bear,22,1468,Wholesale,32296,1086.32,381.68000000000006,8396.96,6,0,32296.0
ORD100166,2024-10-18,Scott Cox,North,Remote Car,36,1205,Wholesale,43380,879.65,325.35,11712.6,6,0,43380.0
ORD100167,2023-07-12,Bobby Williams,East,Doll House,3,479,Online,1437,383.20000000000005,95.79999999999995,287.4,6,0,1437.0
ORD100168,2024-10-23,Grant Houston,South,Remote Car,22,1085,Retail Store,23870,759.5,325.5,7161.0,3,0,23870.0
ORD100169,2023-06-07,Monica Cooley,South,Doll House,18,1375,Retail Store,24750,838.75,536.25,9652.5,5,0,24750.0
ORD100170,2023-02-07,April Guerrero,South,Teddy Bear,18,1129,Wholesale,20322,846.75,282.25,5080.5,5,0,20322.0
ORD100171,2023-02-20,Elizabeth Willis,South,Doll House,42,603,Retail Store,25326,470.34000000000003,132.65999999999997,5571.72,3,0,25326.0
ORD100172,2023-02-13,Crystal Moore,North,Puzzle Game,11,724,Online,7964,412.67999999999995,311.32000000000005,3424.52,9,0,7964.0
ORD100173,2024-06-07,John Cox,West,Lego Set,40,581,Online,23240,447.37,133.63,5345.2,9,0,23240.0
ORD100174,2023-02-23,Marvin Peters,East,Teddy Bear,10,780,Retail Store,7800,530.4000000000001,249.5999999999999,2496.0,6,10,7020.0
ORD100175,2023-09-30,Karen Watson,North,Teddy Bear,12,1391,Retail Store,16692,723.32,667.68,8012.16,4,5,15857.4
ORD100176,2023-07-08,Joel Schultz,South,Lego Set,37,511,Wholesale,18907,393.47,117.52999999999997,4348.61,4,10,17016.3
ORD100177,2023-09-02,Megan Jones DDS,South,Puzzle Game,10,775,Online,7750,503.75,271.25,2712.5,7,0,7750.0
ORD100178,2024-07-26,Francisco Phillips,West,Remote Car,42,360,Online,15120,198.00000000000003,161.99999999999997,6804.0,6,0,15120.0
ORD100179,2024-01-03,Dr. Alexis Murphy MD,South,Puzzle Game,6,394,Retail Store,2364,275.79999999999995,118.20000000000005,709.2,8,10,2127.6
ORD100180,2024-07-21,Evan Martinez,East,Puzzle Game,9,1338,Wholesale,12042,802.8,535.2,4816.8,5,10,10837.8
ORD100181,2024-01-28,Olivia Bean,West,Teddy Bear,35,729,Wholesale,25515,568.62,160.38,5613.3,9,0,25515.0
ORD100182,2024-09-16,Joshua Zavala,South,Action Figure,39,906,Online,35334,625.14,280.86,10953.54,6,5,33567.3
ORD100183,2024-01-23,Linda Smith,East,Remote Car,9,385,Online,3465,204.05,180.95,1628.55,5,0,3465.0
ORD100184,2023-05-26,David Perkins,East,Doll House,44,600,Online,26400,468.0,132.0,5808.0,8,0,26400.0
ORD100185,2023-11-06,Preston Baker,South,Teddy Bear,48,712,Online,34176,555.36,156.64,7518.72,3,0,34176.0
ORD100186,2024-03-30,Jeffery Woods,South,Lego Set,31,545,Online,16895,327.0,218.0,6758.0,4,0,16895.0
ORD100187,2023-05-09,Dominique Hale,West,Puzzle Game,29,868,Online,25172,598.92,269.08000000000004,7803.32,5,15,21396.2
ORD100188,2023-07-02,Tammy Sanchez,East,Lego Set,24,1464,Wholesale,35136,761.28,702.72,16865.28,7,10,31622.4
ORD100189,2023-09-28,Anna Johnson,North,Puzzle Game,16,1500,Online,24000,975.0,525.0,8400.0,1,10,21600.0
ORD100190,2024-06-17,Courtney Jones,West,Puzzle Game,42,712,Online,29904,398.72,313.28,13157.76,5,0,29904.0
ORD100191,2024-01-04,Christopher Roberts,West,Puzzle Game,12,1289,Online,15468,696.0600000000001,592.9399999999999,7115.28,3,5,14694.6
ORD100192,2024-09-14,Michael Smith,South,Lego Set,38,435,Retail Store,16530,274.05,160.95,6116.1,9,0,16530.0
ORD100193,2024-08-16,Andrea Martin,North,Puzzle Game,37,528,Retail Store,19536,269.28000000000003,258.71999999999997,9572.64,7,10,17582.4
ORD100194,2023-03-19,Ashley Baker,North,Lego Set,23,1211,Retail Store,27853,799.26,411.74,9470.02,2,0,27853.0
ORD100195,2024-01-13,Desiree Turner,East,Action Figure,23,1153,Retail Store,26519,784.0400000000001,368.9599999999999,8486.08,7,0,26519.0
ORD100196,2023-01-07,Stephanie Hill,East,Remote Car,16,773,Online,12368,479.26,293.74,4699.84,2,0,12368.0
ORD100197,2024-03-04,Justin Scott,West,Puzzle Game,33,821,Wholesale,27093,467.96999999999997,353.03000000000003,11649.99,9,0,27093.0
ORD100198,2024-12-31,Kayla Gilbert,West,Teddy Bear,37,615,Wholesale,22755,362.84999999999997,252.15000000000003,9329.55,7,5,21617.25
ORD100199,2024-12-28,Arthur Ramirez,West,Teddy Bear,21,930,Retail Store,19530,548.6999999999999,381.30000000000007,8007.3,1,0,19530.0
ORD100200,2023-06-13,Jesse Torres,South,Lego Set,19,861,Retail Store,16359,654.36,206.64,3926.16,1,0,16359.0
ORD100201,2023-09-16,Margaret Day,East,Lego Set,37,490,Wholesale,18130,387.1,102.89999999999998,3807.3,1,5,17223.5
ORD100202,2023-04-30,Alexis Ford,West,Remote Car,29,1378,Online,39962,1019.72,358.28,10390.12,3,10,35965.8
ORD100203,2023-05-16,Laura Garza,South,Doll House,50,503,Online,25150,337.01000000000005,165.98999999999995,8299.5,1,10,22635.0
